PhoneName,Price,RAM_ROM,Display,Battery,Processor,Stars,Ratings Count,Reviews Count
"POCO M6 5G (Galactic Black, 256 GB)","₹11,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.3,"78,537","3,497"
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹4,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"78,537","3,497"
"realme P1 5G (Peacock Green, 256 GB)","₹18,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.3,"78,537","3,497"
"realme C53 (Champion Gold, 128 GB)","₹9,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"78,537","3,497"
Nokia 105 Classic without Charger,₹999,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,800 mAh Battery,SC6531E Processor,4.3,"78,537","3,497"
"realme C53 (Champion Black, 128 GB)","₹9,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"78,537","3,497"
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹12,108",6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,6000 mAh Battery,1 year,4.3,"78,537","3,497"
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹14,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,MediaTek Dimensity 6100+ Processor,4.3,"78,537","3,497"
"REDMI 12 5G (Moonstone Silver, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.3,"78,537","3,497"
"POCO X6 Neo 5G (Martian Orange, 128 GB)","₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6080 Processor,4.3,"78,537","3,497"
"Infinix SMART 8 HD (Shiny Gold, 64 GB)","₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,T606 Processor,4.3,"78,537","3,497"
